objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
sp_148_Normalized,531,1905,20,19,true,0,0,0,6,0,3,1,0,0,2,0,1,1,true,false,true,2,,,,,
sp_40_Normalized,536,2186,11,11,true,0,0,0,2,0,2,1,1,0,0,0,2,0,true,false,true,2,,,,,
sp_159_Normalized,537,675,11,10,true,1,0,0,1,0,1,1,1,0,1,0,1,1,true,false,true,2,,,,,
sp_158_Normalized,539,836,9,8,true,0,0,0,2,0,1,0,0,0,1,0,1,1,true,false,true,2,,,,,
sp_164_Normalized,550,2169,17,16,true,0,1,0,4,0,2,1,1,0,2,0,1,1,true,false,true,2,,,,,
sp_67_Normalized,550,789,12,12,true,1,0,0,4,0,1,0,0,0,1,0,1,1,true,false,true,2,,,,,
sp_324_Normalized,552,2074,16,15,true,0,0,3,5,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
sp_318_Normalized,557,1905,14,13,true,0,0,0,4,0,2,1,0,0,2,0,1,2,true,false,true,2,,,,,
sp_42_Normalized,563,1752,10,9,true,0,0,1,2,0,0,1,1,0,1,0,1,0,true,false,true,2,,,,,
sp_248_Normalized,572,2074,14,13,true,0,0,1,4,0,0,1,1,0,1,0,1,1,true,false,true,2,,,,,
sp_262_Normalized,572,2431,36,35,true,0,1,1,7,0,0,1,0,0,2,0,13,3,true,false,true,2,,,,,
sp_165_Normalized,575,3125,24,23,true,0,0,0,4,0,8,1,2,0,1,0,2,1,true,false,true,2,,,,,
sp_216_Normalized,580,1003,9,9,true,0,0,0,2,0,0,0,0,0,1,1,1,1,true,false,true,2,,,,,
sp_44_Normalized,592,1529,13,13,true,1,0,0,3,0,4,0,1,0,1,0,0,1,true,false,true,2,,,,,
sp_413_Normalized,596,2624,286,286,true,0,0,0,3,0,225,1,50,1,0,0,1,2,true,false,true,2,,,,,
sp_41_Normalized,599,2324,20,19,true,0,0,0,4,0,6,2,3,0,1,0,1,0,true,false,true,2,,,,,
sp_39_Normalized,602,1489,8,8,true,0,0,0,2,0,2,0,0,0,0,0,1,0,true,false,true,2,,,,,
sp_57_Normalized,602,1748,14,13,true,1,0,0,3,0,0,2,2,0,1,0,2,0,true,false,true,2,,,,,
sp_166_Normalized,610,1604,14,13,true,0,0,0,5,0,1,1,1,0,2,0,1,0,true,false,true,2,,,,,
sp_320_Normalized,621,2557,17,16,true,0,1,0,4,0,1,1,1,0,2,0,1,2,true,false,true,2,,,,,
sp_167_Normalized,623,1604,18,17,true,0,1,0,10,0,1,1,0,0,1,1,1,0,true,false,true,2,,,,,
sp_273_Normalized,626,3684,16,15,true,1,0,0,4,0,0,1,1,0,2,0,1,0,true,false,true,2,,,,,
sp_282_Normalized,637,3684,19,18,true,0,0,2,6,0,0,2,3,0,1,0,1,0,true,false,true,2,,,,,
sp_11_Normalized,639,1898,16,16,true,0,0,0,3,0,1,1,1,0,1,0,1,3,true,false,true,2,,,,,
sp_168_Normalized,642,1604,11,10,true,0,0,0,4,0,1,0,1,0,2,0,1,0,true,false,true,2,,,,,
sp_272_Normalized,645,3775,14,13,true,1,0,0,4,0,1,0,1,0,0,0,1,1,true,false,true,2,,,,,
sp_380_Normalized,653,1658,9,9,true,0,0,0,2,0,0,1,0,0,1,0,1,2,true,false,true,2,,,,,
sp_161_Normalized,656,2768,29,29,true,0,0,0,13,0,8,1,2,0,2,0,1,0,true,false,true,2,,,,,
sp_28_Normalized,668,1270,8,8,true,0,0,0,1,0,1,1,1,0,1,0,0,0,true,false,true,2,,,,,
sp_33_Normalized,668,5672,14,14,true,0,0,0,2,0,1,1,4,1,1,1,2,0,true,false,true,2,,,,,
sp_321_Normalized,677,2842,17,16,true,0,0,0,4,0,1,2,1,0,2,0,1,1,true,false,true,2,,,,,
sp_290_Normalized,686,1682,20,19,true,0,0,0,1,0,12,1,2,0,1,0,1,0,true,false,true,2,,,,,
sp_326_Normalized,691,2842,15,15,true,1,0,0,2,0,1,1,1,0,3,0,1,2,true,false,true,2,,,,,
sp_297_Normalized,692,2215,147,147,true,0,0,0,2,0,113,1,27,0,1,0,1,1,true,false,true,2,,,,,
sp_242_Normalized,701,1571,18,17,true,1,0,0,9,0,3,0,0,0,2,0,1,0,true,false,true,2,,,,,
sp_156_Normalized,702,768,9,8,true,0,0,0,1,0,0,1,0,0,1,0,1,1,true,false,true,2,,,,,
sp_294_Normalized,703,2683,12,11,true,0,0,0,3,0,1,1,0,2,1,0,1,1,true,false,true,2,,,,,
