"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"o88588",961,3140,6,0,0,0,0,0,0,0,0,0,2,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o44991",961,3482,9,0,0,0,1,0,0,1,1,0,3,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o11513",962,5289,7,0,0,0,0,0,0,1,2,0,2,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o21209",962,2722,6,0,0,0,3,0,0,0,0,1,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o58489",963,4335,14,0,0,0,1,0,0,1,1,0,3,1,2,2,"True","False","True",2,NA,"",NA,"",""
"o91008",963,5952,12,0,0,0,1,0,2,1,2,0,4,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o45197",963,5246,6,0,0,0,0,0,1,0,0,1,2,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o9931",963,3588,3372,0,0,0,3,0,3093,1,268,1,2,0,1,1,"True","False","True",2,NA,"",NA,"",""
"o68282",964,1642,4,0,1,0,0,0,0,0,0,0,0,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o21494",964,5057,8,0,0,1,0,0,1,1,1,1,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o70328",964,2860,7,0,0,0,2,0,1,0,0,0,2,1,0,0,"True","False","True",2,NA,"",NA,"",""
"o53024",964,5052,7,0,0,0,1,0,1,0,1,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o9896",965,5873,88757,0,0,1,25123,0,31166,1,32458,0,6,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o32499",965,3223,4,0,0,0,0,0,1,0,0,0,0,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o45205",966,5492,5,0,1,0,0,0,0,1,1,0,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o82256",966,2984,3,0,0,0,0,0,1,0,1,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o64857",967,4605,8,0,0,0,0,0,1,1,1,1,3,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o76763",967,3386,8,0,0,0,2,0,1,0,1,0,2,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o9871",967,5130,13675,0,1,0,4387,0,4706,2,4573,1,2,0,1,1,"True","False","True",2,NA,"",NA,"",""
"o43998",967,5574,9,0,0,0,2,0,0,1,2,1,2,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o33831",968,1971,3,0,0,0,0,0,1,0,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o85086",969,3153,9,0,0,0,3,0,0,0,1,0,2,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o81531",969,4811,10,0,0,0,3,0,1,1,1,0,1,0,1,1,"True","False","True",2,NA,"",NA,"",""
"o89607",969,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o79518",970,1743,3,0,0,0,1,0,1,0,0,0,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o76564",971,4541,5,0,1,0,0,0,0,1,0,0,0,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o37088",971,4182,7,0,0,0,1,0,0,1,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o46562",971,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o9803",971,3964,3309,0,0,0,14,0,3017,1,262,1,8,1,1,1,"True","False","True",2,NA,"",NA,"",""
"o63999",972,2527,5,0,0,0,1,0,0,1,0,1,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o60129",972,4074,10,0,0,0,1,0,0,1,3,0,2,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o53621",972,5206,7,0,0,0,1,0,1,0,2,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o13701",972,3002,3,0,0,0,0,0,0,0,1,1,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o90351",972,2004,5,0,0,0,0,0,1,0,0,0,0,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o84363",973,2234,6,0,0,0,1,0,0,0,1,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o90388",973,2087,5,0,0,0,2,0,0,0,0,0,0,1,0,1,"True","False","True",2,NA,"",NA,"",""
"o90402",974,1343,4,0,0,0,1,0,1,0,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o74459",975,5834,12,0,0,0,4,0,0,1,2,0,2,1,1,1,"True","False","True",2,NA,"",NA,"",""
"o83154",975,1092,4,0,0,0,0,0,0,0,0,0,3,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o21865",975,1926,4,0,0,1,0,0,0,0,1,0,1,1,0,0,"True","False","True",2,NA,"",NA,"",""
"o5138",977,761,2,0,0,0,1,0,0,0,0,0,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o49235",977,5334,6,0,0,0,0,0,0,0,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o33707",977,1417,3,0,0,0,0,0,0,0,0,0,2,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o57642",978,1772,4,0,1,0,0,0,0,1,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o26975",978,1783,2,0,0,0,1,0,0,0,0,0,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o60855",979,1896,3,0,0,0,0,0,0,1,0,0,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o64700",980,2739,4,0,0,0,0,0,0,0,1,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o14743",980,3584,5,0,0,0,0,0,0,0,1,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
