objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o9390,3296,7008,26,25,true,1,0,0,8,0,2,2,1,0,5,0,0,1,true,false,true,2,,,,,
o4833,3297,15224,28,27,true,1,0,0,2,0,1,4,3,0,5,0,2,1,true,false,true,2,,,,,
o12236,3304,20356,38,37,true,0,0,0,5,0,1,3,7,1,5,1,1,2,true,false,true,2,,,,,
o9968,3306,20864,5422,5422,true,0,0,1,6,0,4968,5,418,1,10,1,1,1,true,false,true,2,,,,,
o90797,3312,9854,23,22,true,1,0,0,0,0,3,2,3,0,6,1,1,0,true,false,true,2,,,,,
o30305,3313,45876,195,194,true,1,0,0,20,0,9,16,58,3,6,48,3,1,true,false,true,3,,,,,
o6189,3319,18086,5491,5490,true,2,0,0,19,0,5061,3,385,1,5,1,1,1,true,false,true,2,,,,,
o91102,3319,32769,45,44,true,2,0,0,1,0,5,4,6,2,7,2,2,1,true,false,true,2,,,,,
o10566,3320,13097,21,20,true,1,0,1,2,0,0,2,1,1,2,1,1,1,true,false,true,2,,,,,
o1006,3321,8761,17,16,true,1,0,0,0,0,0,3,2,0,2,0,1,2,true,false,true,2,,,,,
o7382,3327,19906,37,36,true,0,1,0,2,0,2,4,3,1,7,1,1,4,true,false,true,2,,,,,
o30962,3329,42168,186,185,true,1,0,0,18,0,9,17,53,3,7,47,3,1,true,false,true,3,,,,,
o10505,3330,16113,53,52,true,2,0,0,12,0,4,4,12,0,4,2,2,1,true,false,true,2,,,,,
o90290,3330,7308,21,20,true,1,0,0,5,0,1,2,1,0,3,0,1,1,true,false,true,2,,,,,
o27789,3332,16463,27,26,true,1,0,1,2,0,1,3,4,2,3,1,1,2,true,false,true,2,,,,,
o68601,3332,23450,39,38,true,2,0,0,3,0,2,6,6,1,5,2,2,0,true,false,true,2,,,,,
o11689,3334,14017,24,23,true,1,0,0,1,0,1,2,3,1,5,1,1,1,true,false,true,2,,,,,
o53159,3337,8050,17,17,true,0,0,0,1,0,0,2,2,1,5,0,1,1,true,false,true,2,,,,,
o16067,3339,10642,22,21,true,1,0,0,1,0,1,2,1,0,7,0,0,1,true,false,true,2,,,,,
o25805,3339,4276,26,25,true,0,1,0,0,0,12,1,3,0,4,0,0,1,true,false,true,2,,,,,
o51177,3341,17262,93,92,true,0,0,2,52,0,3,2,9,0,15,1,1,1,true,false,true,3,,,,,
o65678,3342,10257,25,24,true,1,0,0,5,0,1,3,1,0,4,0,1,1,true,false,true,2,,,,,
o24468,3343,10054,19,18,true,1,0,0,1,0,2,2,1,0,3,1,1,1,true,false,true,2,,,,,
o83253,3344,24890,54,52,true,1,0,0,10,0,2,6,15,1,4,2,2,0,true,false,true,2,,,,,
