objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
kb_783_Normalized,145,311,848,11,false,33,656,2,1,0,0,2,1,1,0,0,1,0,false,true,,3,,15092022_121906,3600000,685e77f461d488e66350a9fe607bc528c59e0c66,vmcolazzo
kb_782_Normalized,145,311,22,8,false,0,1,0,1,0,0,2,0,1,0,0,1,1,false,true,,3,,,,,
kb_469_Normalized,146,402,26,10,false,0,0,0,1,0,0,2,0,1,0,0,1,0,false,true,,3,,,,,
kb_470_Normalized,146,402,17,8,false,0,0,0,1,0,0,2,0,1,0,1,1,1,false,true,,3,,,,,
kb_6_Normalized,1342168,1206748,562242,558616,false,26,102,24,556130,1,285,197,1160,36,1,136,2,1,false,true,,2,,,,,
