dataset,tool,success,failure,errors sat,errors unsat
GitHub,Ours,99.19,0.81,0.0,0.0
GitHub,DG,94.2,2.86,2.43,0.51
Kubernetes,Ours,100.0,0.0,0.0,0.0
Kubernetes,DG,99.54,0.0,0.0,0.46
Snowplow,Ours,99.52,0.48,0.0,NA
Snowplow,DG,94.76,0.0,5.24,NA
WashingtonPost,Ours,100.0,0.0,0.0,NA
WashingtonPost,DG,96.8,0.0,3.2,NA
Handwritten,Ours,100.0,0.0,0.0,0.0
Handwritten,DG,8.51,34.04,49.36,8.09
Containment,Ours,100.0,0.0,0.0,0.0
Containment,DG,28.78,30.88,0.08,40.27
Containment,CC,35.91,62.96,0.15,0.98
