objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
kb_6_Normalized,1342168,1068939,585063,13,27,23,582721,1,247,242,1161,39,18,127,0,1,False,True,,2,,,,,
kb_783_Normalized,145,296,14,0,1,1,1,0,1,2,0,0,2,1,2,1,False,True,,3,,,,,
kb_782_Normalized,145,296,9,0,0,1,1,0,0,2,1,0,0,1,1,1,False,True,,3,,,,,
kb_469_Normalized,146,357,16,0,0,1,2,0,1,4,0,0,1,1,0,1,False,True,,3,,,,,
kb_470_Normalized,146,357,11,0,0,1,0,0,0,3,1,1,1,0,1,0,False,True,,3,,,,,
