objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o43344,24662,34624,77,0,0,0,21,0,13,5,5,0,17,1,1,2,True,False,true,2,,,,,
o80302,24665,64905,141,0,0,1,33,0,14,17,13,2,33,5,2,1,True,False,true,2,,,,,
o41193,24990,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,true,2,,,,,
o47208,25094,36514,120,0,0,0,19,0,27,6,9,0,41,4,1,1,True,False,true,2,,,,,
o45027,25105,196,2,1,0,0,1,0,0,0,0,0,0,0,0,0,True,False,true,2,,,,,
o66331,25105,110592,226,1,0,0,47,0,13,22,47,2,43,11,6,3,True,False,true,2,,,,,
o58761,25315,121749,217,2,0,1,16,0,23,18,22,4,73,6,5,14,True,False,true,2,,,,,
o14077,25367,60684,208,1,0,0,78,0,13,28,8,1,34,19,4,2,True,False,true,2,,,,,
o16433,25388,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,true,2,,,,,
o58764,25512,122183,203,0,0,0,6,0,19,20,23,3,74,6,5,15,True,False,true,2,,,,,
o13152,25517,39651,31082,1,1,0,479,0,28879,8,1664,0,28,4,1,4,True,False,true,2,,,,,
o19353,25656,60448,337,8,0,1,9,0,14,15,10,1,36,5,2,1,True,False,true,2,,,,,
o41390,25835,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,true,2,,,,,
o84200,26361,65792,145,0,0,1,33,0,10,19,14,0,35,8,2,2,True,False,true,2,,,,,
o60756,26383,62022,108,1,1,0,19,0,6,11,10,2,34,3,2,2,True,False,true,2,,,,,
o79077,26393,26880,56,0,1,0,1,0,11,5,6,0,21,2,0,1,True,False,true,2,,,,,
o58762,26402,125719,211,0,0,1,7,0,19,21,24,3,76,6,5,15,True,False,true,2,,,,,
o66711,26464,128843,222,1,1,0,8,0,21,21,24,3,83,6,5,15,True,False,true,2,,,,,
o71565,26476,37886,107,2,0,0,20,0,9,7,9,2,38,8,1,1,True,False,true,2,,,,,
o80831,26505,62667,125,2,0,1,10,0,8,15,10,1,52,3,2,2,True,False,true,2,,,,,
